run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range
56,A,15,15,10,2.5,0.15,0.15,8,100.4052,7.2001,0.5356,22.5655,40.74,2.479,108,0.0,0.3191,200405.18,2014-01-01~2024-01-01
57,B,15,15,10,2.5,0.15,0.15,8,100.0043,7.1786,0.3609,28.6752,33.87,3.6453,62,0.0,0.2503,200004.26,2014-01-01~2024-01-01
58,A,15,15,10,2.5,0.2,0.15,8,102.0986,7.2903,0.5563,21.7112,41.82,2.3804,110,0.0,0.3358,202098.57,2014-01-01~2024-01-01
59,B,15,15,10,2.5,0.2,0.15,8,100.0135,7.1791,0.3629,28.5434,34.38,3.5558,64,0.0,0.2515,200013.46,2014-01-01~2024-01-01
60,A,15,15,12,1.5,0.0,0.15,8,157.1709,9.9076,0.6646,33.1815,41.24,3.6009,97,0.0,0.2986,257170.93,2014-01-01~2024-01-01
61,B,15,15,12,1.5,0.0,0.15,8,96.4515,6.9866,0.3742,27.7434,28.81,4.8744,59,0.0,0.2518,196451.52,2014-01-01~2024-01-01
62,A,15,15,12,1.5,0.05,0.15,8,155.3374,9.829,0.6571,33.0352,40.21,3.7355,97,0.0,0.2975,255337.42,2014-01-01~2024-01-01
63,B,15,15,12,1.5,0.05,0.15,8,96.1985,6.9729,0.376,27.5964,28.81,4.8709,59,0.0,0.2527,196198.5,2014-01-01~2024-01-01
64,A,15,15,12,1.5,0.1,0.15,8,155.1477,9.8208,0.6549,32.7339,40.21,3.7404,97,0.0,0.3,255147.69,2014-01-01~2024-01-01
65,B,15,15,12,1.5,0.1,0.15,8,114.1439,7.9133,0.4058,26.5933,30.36,4.911,56,0.0,0.2976,214143.86,2014-01-01~2024-01-01
66,A,15,15,12,1.5,0.15,0.15,8,127.6752,8.5767,0.6936,29.3363,41.41,3.2165,99,0.0,0.2924,227675.16,2014-01-01~2024-01-01
67,B,15,15,12,1.5,0.15,0.15,8,108.6356,7.6324,0.394,26.323,30.36,4.666,56,0.0,0.29,208635.63,2014-01-01~2024-01-01
68,A,15,15,12,1.5,0.2,0.15,8,129.2508,8.6516,0.7136,29.0106,42.42,3.1007,99,0.0,0.2982,229250.79,2014-01-01~2024-01-01
69,B,15,15,12,1.5,0.2,0.15,8,112.18,7.8139,0.3992,26.4486,31.58,4.444,57,0.0,0.2954,212179.97,2014-01-01~2024-01-01
