symbol,entry_date,exit_date,holding_days,direction,entry_price,exit_price,pnl,was_win,units,n_atr,hurst_252,rsi_14,vol_ratio,breakout_amplitude_n,body_ratio,close_position,atr_percentile_252,sma60_slope_20d,sma20,season
513100.SH,2017-10-09T00:00:00,2017-12-06T00:00:00,42,long,0.4184,0.4348,16596.8,True,4,0.003,0.6613,64.41,2.57,1.4667,0.3793,0.4483,0.1667,0.1385,0.4103,2017Q4
518880.SH,2018-01-02T00:00:00,2018-01-30T00:00:00,20,long,2.723,2.731,1824.0,True,4,0.0137,0.6948,62.22,0.35,0.8029,0.25,0.75,0.2632,-1.0117,2.6792,2018Q1
510500.SH,2018-01-02T00:00:00,2018-01-31T00:00:00,21,long,5.6018,5.4541,-4874.1,False,3,0.0708,0.6776,55.26,1.87,0.0593,0.8075,0.9641,0.5355,-1.9823,5.496,2018Q1
513100.SH,2018-01-12T00:00:00,2018-02-05T00:00:00,16,long,0.4622,0.4452,-14021.6,False,4,0.0038,0.6734,68.25,1.57,0.8947,0.6538,0.8077,0.5385,2.8116,0.4517,2018Q1
159915.SZ,2018-03-12T00:00:00,2018-03-23T00:00:00,9,long,1.777,1.622,-3084.5,False,1,0.0381,0.6697,69.61,1.68,0.5774,0.125,0.4375,0.8164,-1.6739,1.6222,2018Q1
518880.SH,2018-03-23T00:00:00,2018-04-24T00:00:00,20,long,2.741,2.7,-3845.8,False,2,0.0159,0.6938,61.49,1.02,0.566,0.8462,0.9231,0.5361,0.1768,2.7034,2018Q1
510500.SH,2018-05-22T00:00:00,2018-05-25T00:00:00,3,long,5.3921,5.2335,-1554.28,False,1,0.0745,0.7028,58.79,0.88,0.102,0.4775,0.9687,0.2812,-0.4565,5.2723,2018Q2
513100.SH,2018-05-10T00:00:00,2018-06-28T00:00:00,34,long,0.4606,0.479,9479.68,True,4,0.0057,0.6844,63.01,0.7,0.6667,0.125,0.75,0.569,-1.2156,0.4447,2018Q2
513100.SH,2018-07-09T00:00:00,2018-08-21T00:00:00,31,long,0.5146,0.5274,5186.56,True,4,0.0075,0.6801,67.57,1.65,1.6267,0.7447,1.0,0.8793,3.2668,0.4919,2018Q3
518880.SH,2018-10-12T00:00:00,2018-11-09T00:00:00,20,long,2.702,2.718,3494.4,True,4,0.0141,0.6894,68.2,1.39,2.5532,0.2,0.4,0.5225,-0.1934,2.6499,2018Q4
159915.SZ,2018-11-15T00:00:00,2018-11-23T00:00:00,6,long,1.336,1.248,-1918.4,False,1,0.0351,0.7158,62.74,0.57,0.0855,0.875,0.9167,0.5538,-5.1699,1.2561,2018Q4
510500.SH,2018-11-16T00:00:00,2018-11-26T00:00:00,6,long,4.1714,3.9062,-1962.48,False,1,0.1021,0.7155,64.36,1.08,0.2302,0.2042,0.5375,0.7451,-4.6756,3.9181,2018Q4
518880.SH,2018-12-10T00:00:00,2019-01-14T00:00:00,23,long,2.767,2.807,9632.0,True,4,0.0124,0.7222,69.03,1.2,2.0161,0.9,0.9,0.3694,1.1167,2.7217,2018Q4
518880.SH,2019-02-15T00:00:00,2019-02-28T00:00:00,9,long,2.861,2.833,-6518.4,False,4,0.013,0.7166,65.81,1.22,0.5385,1.0,1.0,0.4234,1.1287,2.8229,2019Q1
159915.SZ,2019-02-18T00:00:00,2019-03-26T00:00:00,26,long,1.357,1.556,18865.2,True,4,0.0258,0.7127,75.75,1.27,1.6667,0.9592,1.0,0.17,-0.5936,1.2338,2019Q1
510500.SH,2019-02-18T00:00:00,2019-04-24T00:00:00,46,long,4.1999,5.09,35247.96,True,4,0.0768,0.7117,72.36,1.49,1.3438,0.9769,0.9769,0.257,0.2316,3.9206,2019Q1
513100.SH,2019-01-18T00:00:00,2019-05-13T00:00:00,72,long,0.4754,0.5356,22466.64,True,4,0.008,0.6652,56.65,0.24,0.45,0.7273,0.7273,0.6567,-4.8726,0.4542,2019Q1
510500.SH,2019-06-21T00:00:00,2019-07-09T00:00:00,12,long,4.5237,4.4021,-2067.2,False,2,0.0971,0.7031,55.67,2.28,0.2503,0.4544,0.406,0.4455,-2.797,4.3793,2019Q2
513100.SH,2019-06-19T00:00:00,2019-08-02T00:00:00,32,long,0.5458,0.5634,9173.12,True,4,0.0062,0.6848,62.39,4.07,1.0,0.5882,0.2941,0.3279,1.7395,0.5262,2019Q2
159915.SZ,2019-06-21T00:00:00,2019-08-06T00:00:00,32,long,1.473,1.451,-1610.4,False,4,0.0361,0.7059,57.8,2.73,0.1939,0.5625,0.3438,0.4662,-3.6549,1.4124,2019Q2
518880.SH,2019-06-04T00:00:00,2019-09-10T00:00:00,69,long,2.944,3.389,77252.0,True,4,0.0184,0.7697,76.9,0.91,1.4674,0.0833,0.75,1.0,0.0752,2.8507,2019Q2
510500.SH,2019-09-05T00:00:00,2019-09-25T00:00:00,13,long,4.6596,4.6152,-2166.72,False,4,0.0751,0.7014,72.0,2.01,0.3342,0.1453,0.2075,0.1421,0.0309,4.406,2019Q3
159915.SZ,2019-09-05T00:00:00,2019-09-26T00:00:00,14,long,1.627,1.561,-6336.0,False,3,0.0288,0.6833,71.14,1.19,0.625,0.3103,0.3103,0.2315,2.987,1.5436,2019Q3
518880.SH,2019-12-04T00:00:00,2019-12-13T00:00:00,7,long,3.337,3.261,-2941.2,False,1,0.0236,0.7264,58.19,1.29,0.0847,0.8462,0.9231,0.3351,-1.6007,3.2778,2019Q4
510500.SH,2019-12-16T00:00:00,2020-01-23T00:00:00,27,long,4.6873,4.8753,12182.4,True,4,0.0573,0.7025,71.79,1.44,1.0681,0.8594,0.8999,0.0385,-0.3887,4.5044,2019Q4
159915.SZ,2019-12-16T00:00:00,2020-02-03T00:00:00,28,long,1.715,1.708,-1013.6,False,4,0.0257,0.6794,69.09,1.28,0.7782,0.7333,0.9667,0.1318,0.9593,1.64,2019Q4
513100.SH,2019-10-22T00:00:00,2020-02-24T00:00:00,82,long,0.5812,0.7113,99916.8,True,4,0.0046,0.7122,58.91,0.78,0.0435,0.6,0.6,0.0656,0.9904,0.5736,2019Q4
518880.SH,2020-01-03T00:00:00,2020-03-09T00:00:00,40,long,3.422,3.659,32232.0,True,4,0.0224,0.7386,71.39,1.12,1.6071,0.7895,0.8421,0.2672,-1.031,3.321,2020Q1
510500.SH,2020-02-18T00:00:00,2020-03-10T00:00:00,15,long,5.1311,5.1429,453.12,True,4,0.109,0.6744,62.82,1.43,0.3229,0.5046,0.9554,0.6599,3.0236,4.9114,2020Q1
159915.SZ,2020-02-18T00:00:00,2020-03-10T00:00:00,15,long,2.09,2.063,-1652.4,False,4,0.0551,0.6521,70.96,1.43,0.3448,0.45,1.0,0.9463,5.8713,1.9147,2020Q1
510500.SH,2020-04-22T00:00:00,2020-04-28T00:00:00,4,long,4.8946,4.7435,-1420.34,False,1,0.1042,0.6954,56.1,0.87,0.0806,0.9377,0.956,0.4762,-1.0441,4.7378,2020Q2
159915.SZ,2020-05-06T00:00:00,2020-05-22T00:00:00,12,long,2.029,1.972,-2325.6,False,2,0.0497,0.6678,64.38,0.94,0.6036,0.8448,0.9483,0.4549,1.5697,1.9291,2020Q2
518880.SH,2020-04-14T00:00:00,2020-06-04T00:00:00,34,long,3.712,3.82,6782.4,True,4,0.0628,0.6983,62.79,0.9,0.3344,0.2745,0.5294,0.6441,1.6289,3.535,2020Q2
513100.SH,2020-04-17T00:00:00,2020-06-12T00:00:00,37,long,0.6747,0.7445,13345.76,True,4,0.0206,0.7002,58.43,1.04,0.4466,0.5645,0.6774,0.593,-0.7218,0.6324,2020Q2
518880.SH,2020-06-24T00:00:00,2020-07-17T00:00:00,15,long,3.91,3.904,-572.4,False,3,0.0321,0.6679,63.98,0.96,0.1246,0.2727,0.5455,0.1774,3.0418,3.849,2020Q2
510500.SH,2020-06-16T00:00:00,2020-07-24T00:00:00,26,long,5.1966,5.7964,31429.52,True,4,0.077,0.6785,69.11,0.94,0.1532,0.9574,0.9574,0.2177,-0.4534,5.024,2020Q2
